location,price,size,price_per_sqm,geo code ,scraped_at,page_number,page_url,price_numeric,,,,,,,price_per_rai
Lat Phrao ,"2,500,000",160,"15,625",,2025-07-30 13:15:47,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Lat Phrao ,"2,500,000",160,"15,625",,2025-07-30 13:17:16,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Khlong Sam Wa ,"99,275,000","6,400","15,512",,2025-07-30 13:15:35,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Bang Khen ,"4,650,000",308,"15,097",,2025-07-30 13:14:19,1,https://www.thailand-property.com/land-for-sale/bangkok?page=2,,,,,,,,
Khlong Sam Wa ,"7,150,000",476,"15,021",,2025-07-30 13:16:00,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Thawi Watthana ,"768,000,000","51,200","15,000",,2025-07-30 14:46:45,14,https://www.thailand-property.com/land-for-sale/bangkok?page=15,,,,,,,,
Lak Si ,"6,000,000",400,"15,000",,2025-07-30 13:20:52,8,https://www.thailand-property.com/land-for-sale/bangkok?page=9,,,,,,,,
Prawet ,"5,800,000",400,"14,500",,2025-07-30 14:49:11,17,https://www.thailand-property.com/land-for-sale/bangkok?page=18,,,,,,,,
Prawet ,"5,800,000",400,"14,500",,2025-07-30 13:19:51,6,https://www.thailand-property.com/land-for-sale/bangkok?page=7,,,,,,,,
Sai Mai ,"2,850,000",204,"13,971",,2025-07-30 13:36:04,13,https://www.thailand-property.com/land-for-sale/bangkok?page=14,,,,,,,,
Sai Mai ,"2,850,000",204,"13,971",,2025-07-30 14:47:13,15,https://www.thailand-property.com/land-for-sale/bangkok?page=16,,,,,,,,
Saphan Sung ,"22,000,000","1,600","13,750",,2025-07-30 13:17:13,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Bang Khen ,"38,000,000","2,832","13,418",,2025-07-30 13:14:28,1,https://www.thailand-property.com/land-for-sale/bangkok?page=2,,,,,,,,
Bang Khun Thian ,"20,829,000","1,572","13,250",,2025-07-30 13:35:50,13,https://www.thailand-property.com/land-for-sale/bangkok?page=14,,,,,,,,
